"NARATIVE","ORD","LATITUDE","LONGITUDE"
"SECA NORTH AMERICA EAST COAST",61,30.213333333333,-77.308055555556
"SECA NORTH AMERICA EAST COAST",62,29.421388888889,-76.945
"SECA NORTH AMERICA EAST COAST",63,28.616388888889,-76.8
"SECA NORTH AMERICA EAST COAST",64,28.286944444444,-76.669444444445
"SECA NORTH AMERICA EAST COAST",65,28.286666666667,-79.189722222222
"SECA NORTH AMERICA EAST COAST",66,27.882222222222,-79.476388888889
"SECA NORTH AMERICA EAST COAST",67,27.433611111111,-79.527222222222
"SECA NORTH AMERICA EAST COAST",68,27.270277777778,-79.571666666667
"SECA NORTH AMERICA EAST COAST",69,27.198333333333,-79.582222222222
"SECA NORTH AMERICA EAST COAST",70,27.099722222222,-79.588611111111
"SECA NORTH AMERICA EAST COAST",71,27.007777777778,-79.588055555556
"SECA NORTH AMERICA EAST COAST",72,26.921111111111,-79.5775
"SECA NORTH AMERICA EAST COAST",73,26.899444444444,-79.574166666667
"SECA NORTH AMERICA EAST COAST",74,26.762777777778,-79.544722222222
"SECA NORTH AMERICA EAST COAST",75,26.741666666667,-79.539722222222
"SECA NORTH AMERICA EAST COAST",76,26.727777777778,-79.538888888889
"SECA NORTH AMERICA EAST COAST",77,26.686666666667,-79.533611111111
"SECA NORTH AMERICA EAST COAST",78,26.636944444444,-79.525555555556
"SECA NORTH AMERICA EAST COAST",79,26.608333333333,-79.518333333333
"SECA NORTH AMERICA EAST COAST",80,26.589166666667,-79.513888888889
"SECA NORTH AMERICA EAST COAST",81,26.580833333333,-79.512777777778
"SECA NORTH AMERICA EAST COAST",82,26.569722222222,-79.510555555556
"SECA NORTH AMERICA EAST COAST",83,26.52,-79.504166666667
"SECA NORTH AMERICA EAST COAST",84,26.484722222222,-79.498055555556
"SECA NORTH AMERICA EAST COAST",85,26.425277777778,-79.499444444444
"SECA NORTH AMERICA EAST COAST",86,26.391388888889,-79.498611111111
"SECA NORTH AMERICA EAST COAST",87,26.389166666667,-79.498333333333
"SECA NORTH AMERICA EAST COAST",88,26.315833333333,-79.531944444444
"SECA NORTH AMERICA EAST COAST",89,26.257222222222,-79.554722222222
"SECA NORTH AMERICA EAST COAST",90,26.253611111111,-79.556388888889
"SECA NORTH AMERICA EAST COAST",91,26.135833333333,-79.598055555556
"SECA NORTH AMERICA EAST COAST",92,26.129722222222,-79.6025
"SECA NORTH AMERICA EAST COAST",93,26.116388888889,-79.609722222222
"SECA NORTH AMERICA EAST COAST",94,26.047777777778,-79.639444444445
"SECA NORTH AMERICA EAST COAST",95,25.991666666667,-79.6675
"SECA NORTH AMERICA EAST COAST",96,25.987777777778,-79.668888888889
"SECA NORTH AMERICA EAST COAST",97,25.963333333333,-79.677222222222
"SECA NORTH AMERICA EAST COAST",98,25.938333333333,-79.685
"SECA NORTH AMERICA EAST COAST",99,25.901111111111,-79.693888888889
"SECA NORTH AMERICA EAST COAST",100,25.89,-79.696111111111
"SECA NORTH AMERICA EAST COAST",101,25.865,-79.699722222222
"SECA NORTH AMERICA EAST COAST",102,25.825833333333,-79.704444444444
"SECA NORTH AMERICA EAST COAST",103,25.806666666667,-79.706388888889
"SECA NORTH AMERICA EAST COAST",104,25.805555555556,-79.706666666667
"SECA NORTH AMERICA EAST COAST",105,25.773888888889,-79.712222222222
"SECA NORTH AMERICA EAST COAST",106,25.771111111111,-79.7125
"SECA NORTH AMERICA EAST COAST",107,25.727777777778,-79.716388888889
"SECA NORTH AMERICA EAST COAST",108,25.708611111111,-79.713333333333
"SECA NORTH AMERICA EAST COAST",109,25.676944444444,-79.7075
"SECA NORTH AMERICA EAST COAST",110,25.623333333333,-79.7075
"SECA NORTH AMERICA EAST COAST",111,25.618888888889,-79.7075
"SECA NORTH AMERICA EAST COAST",112,25.5175,-79.703333333333
"SECA NORTH AMERICA EAST COAST",113,25.466388888889,-79.703055555556
"SECA NORTH AMERICA EAST COAST",114,25.401111111111,-79.703333333333
"SECA NORTH AMERICA EAST COAST",115,25.3725,-79.705555555556
"SECA NORTH AMERICA EAST COAST",116,25.358055555556,-79.702222222222
"SECA NORTH AMERICA EAST COAST",117,25.281111111111,-79.69
"SECA NORTH AMERICA EAST COAST",118,25.265833333333,-79.691944444444
"SECA NORTH AMERICA EAST COAST",119,25.1775,-79.691944444444
"SECA NORTH AMERICA EAST COAST",120,25.164166666667,-79.693333333333
"SECA NORTH AMERICA EAST COAST",121,25.150833333333,-79.695833333333
"SECA NORTH AMERICA EAST COAST",122,25.065277777778,-79.708055555556
"SECA NORTH AMERICA EAST COAST",123,25.05,-79.715555555556
"SECA NORTH AMERICA EAST COAST",124,25.008333333333,-79.734722222222
"SECA NORTH AMERICA EAST COAST",125,24.984166666667,-79.746666666667
"SECA NORTH AMERICA EAST COAST",126,24.924444444444,-79.765833333333
"SECA NORTH AMERICA EAST COAST",127,24.738333333333,-79.823333333333
"SECA NORTH AMERICA EAST COAST",128,24.717777777778,-79.827222222222
"SECA NORTH AMERICA EAST COAST",129,24.71,-79.847222222222
"SECA NORTH AMERICA EAST COAST",130,24.696388888889,-79.8825
"SECA NORTH AMERICA EAST COAST",131,24.642222222222,-79.999444444444
"SECA NORTH AMERICA EAST COAST",132,24.6075,-80.064166666667
"SECA NORTH AMERICA EAST COAST",133,24.555,-80.211944444444
"SECA NORTH AMERICA EAST COAST",134,24.551388888889,-80.2225
"SECA NORTH AMERICA EAST COAST",135,24.536944444444,-80.254444444444
"SECA NORTH AMERICA EAST COAST",136,24.524166666667,-80.281944444444
"SECA NORTH AMERICA EAST COAST",137,24.515833333333,-80.296388888889
"SECA NORTH AMERICA EAST COAST",138,24.503888888889,-80.3225
"SECA NORTH AMERICA EAST COAST",139,24.501666666667,-80.328888888889
"SECA NORTH AMERICA EAST COAST",140,24.493888888889,-80.351388888889
"SECA NORTH AMERICA EAST COAST",141,24.471666666667,-80.409722222222
"SECA NORTH AMERICA EAST COAST",142,24.468333333333,-80.419444444445
"SECA NORTH AMERICA EAST COAST",143,24.456388888889,-80.455555555556
"SECA NORTH AMERICA EAST COAST",144,24.441666666667,-80.491666666667
"SECA NORTH AMERICA EAST COAST",145,24.418611111111,-80.539444444444
"SECA NORTH AMERICA EAST COAST",146,24.391666666667,-80.6025
"SECA NORTH AMERICA EAST COAST",147,24.375833333333,-80.648888888889
"SECA NORTH AMERICA EAST COAST",148,24.368611111111,-80.664166666667
"SECA NORTH AMERICA EAST COAST",149,24.325277777778,-80.755833333333
"SECA NORTH AMERICA EAST COAST",150,24.321111111111,-80.763055555556
"SECA NORTH AMERICA EAST COAST",151,24.310555555556,-80.780277777778
"SECA NORTH AMERICA EAST COAST",152,24.309722222222,-80.781666666667
"SECA NORTH AMERICA EAST COAST",153,24.164166666667,-80.996388888889
"SECA NORTH AMERICA EAST COAST",154,24.163333333333,-80.9975
"SECA NORTH AMERICA EAST COAST",155,24.149444444444,-81.018611111111
"SECA NORTH AMERICA EAST COAST",156,24.141666666667,-81.030833333333
"SECA NORTH AMERICA EAST COAST",157,24.140555555556,-81.0325
"SECA NORTH AMERICA EAST COAST",158,24.124444444444,-81.051666666667
"SECA NORTH AMERICA EAST COAST",159,24.038888888889,-81.151388888889
"SECA NORTH AMERICA EAST COAST",160,24,-81.187777777778
"SECA NORTH AMERICA EAST COAST",161,23.925555555556,-81.215277777778
"SECA NORTH AMERICA EAST COAST",162,23.897777777778,-81.328611111111
"SECA NORTH AMERICA EAST COAST",163,23.847777777778,-81.499722222222
"SECA NORTH AMERICA EAST COAST",164,23.833888888889,-81.666388888889
"SECA NORTH AMERICA EAST COAST",165,23.818055555556,-81.833055555556
"SECA NORTH AMERICA EAST COAST",166,23.818055555556,-82.003055555556
"SECA NORTH AMERICA EAST COAST",167,23.828333333333,-82.166388888889
"SECA NORTH AMERICA EAST COAST",168,23.853888888889,-82.416388888889
"SECA NORTH AMERICA EAST COAST",169,23.853888888889,-82.666388888889
"SECA NORTH AMERICA EAST COAST",170,23.828333333333,-82.814722222222
"SECA NORTH AMERICA EAST COAST",171,23.825555555556,-82.853055555556
"SECA NORTH AMERICA EAST COAST",172,23.823333333333,-82.999722222222
"SECA NORTH AMERICA EAST COAST",173,23.831111111111,-83.249722222222
"SECA NORTH AMERICA EAST COAST",174,23.856111111111,-83.430277777778
"SECA NORTH AMERICA EAST COAST",175,23.874166666667,-83.550277777778
"SECA NORTH AMERICA EAST COAST",176,23.901111111111,-83.693055555556
"SECA NORTH AMERICA EAST COAST",177,23.929722222222,-83.803055555556
"SECA NORTH AMERICA EAST COAST",178,23.977222222222,-83.999722222222
"SECA NORTH AMERICA EAST COAST",179,24.160277777778,-84.490833333333
"SECA NORTH AMERICA EAST COAST",180,24.222222222222,-84.644166666667
"SECA NORTH AMERICA EAST COAST",181,24.278055555556,-84.768611111111
"SECA NORTH AMERICA EAST COAST",182,24.391666666667,-84.999722222222
