"NARATIVE","ORD","LATITUDE","LONGITUDE"
"BAHRAIN",30,24.367114,51.59729
"BAHRAIN",32,24.226929,51.591797
"BAHRAIN",34,24.261989,51.333618
"BAHRAIN",36,24.721885,50.751343
"BAHRAIN",38,25.145285,50.531616
"BAHRAIN",40,25.591994,50.234985
"BAHRAIN",42,25.977799,49.9823
"BAHRAIN",44,26.12585,49.960327
"BAHRAIN",46,26.209663,50.031738
"BAHRAIN",48,26.061718,50.141602
"BAHRAIN",50,26.209663,50.196533
"BAHRAIN",52,26.377107,50.180054
"BAHRAIN",54,26.897578,49.77356
"BAHRAIN",56,27.15692,49.334106
"BAHRAIN",58,27.43029,49.136353
"BAHRAIN",60,27.693256,48.768311
"BAHRAIN",62,27.868217,48.806763
"BAHRAIN",64,28.0235,48.685913
"BAHRAIN",65,28.183402,48.570557
"BALIKPAPAN",1,-1.142502,117.018127
"BALIKPAPAN",2,-1.444549,117.512512
"BALIKPAPAN",3,-2.01283,116.941223
"BALIKPAPAN",4,-1.741065,116.62262
"BALIKPAPAN",5,-1.491226,116.520996
"BALIKPAPAN",6,-1.458278,116.537476
"BALIKPAPAN",7,-1.436312,116.564941
"BALIKPAPAN",8,-1.362176,116.737976
"BALIKPAPAN",9,-1.282547,116.779175
"BALIKPAPAN",10,-1.277055,116.886292
"BALIKPAPAN",11,-1.238612,116.94397
"BALIKPAPAN",12,-1.191931,116.998901
"BENIN AND NIGERIA",1,6.244862,1.664429
"BENIN AND NIGERIA",2,3.074695,3.076172
"BENIN AND NIGERIA",3,2.816858,8.12439
"BENIN AND NIGERIA",4,3.683373,8.217773
"BENIN AND NIGERIA",5,4.160158,8.371582
"BENIN AND NIGERIA",6,4.444997,8.470459
"BENIN AND NIGERIA",7,4.636655,8.497925
"BENIN AND NIGERIA",8,4.696879,8.399048
"BENIN AND NIGERIA",9,4.488809,8.22876
"BENIN AND NIGERIA",10,4.527142,8.10791
"BENIN AND NIGERIA",11,4.505238,7.89917
"BENIN AND NIGERIA",12,4.488809,7.706909
"BENIN AND NIGERIA",13,4.403374,7.470703
"BENIN AND NIGERIA",14,4.335456,6.871948
"BENIN AND NIGERIA",15,4.28068,6.306152
"BENIN AND NIGERIA",16,4.247812,6.009521
"BENIN AND NIGERIA",17,4.335456,5.899658
"BENIN AND NIGERIA",18,4.510714,5.674438
"BENIN AND NIGERIA",19,4.872048,5.427246
"BENIN AND NIGERIA",20,5.266008,5.284424
"BENIN AND NIGERIA",21,5.555848,5.108643
"BENIN AND NIGERIA",22,5.779966,4.998779
"BENIN AND NIGERIA",23,5.967939,4.855957
"BENIN AND NIGERIA",24,6.113246,4.702148
"BENIN AND NIGERIA",25,6.251961,4.526367
"BENIN AND NIGERIA",26,6.337137,4.345093
"BENIN AND NIGERIA",27,6.382996,4.0979
"BENIN AND NIGERIA",28,6.402648,3.746338
"BENIN AND NIGERIA",29,6.380812,3.444214
"BENIN AND NIGERIA",30,6.372624,3.007507
"BENIN AND NIGERIA",31,6.345327,2.612
"BENIN AND NIGERIA",32,6.304379,2.114868
"IRAN",1,30.235811,47.722363
"IRAN",3,29.070574,48.482666
"IRAN",5,29.046566,48.751831
"IRAN",7,29.252856,48.823242
"IRAN",9,29.645095,48.504639
"IRAN",11,29.807284,48.751831
"IRAN",13,29.893043,49.147339
"IRAN",15,29.878755,49.465942
"IRAN",17,29.883518,49.575806
"IRAN",19,29.950175,49.850464
"IRAN",21,29.935895,49.954834
"IRAN",23,29.859701,49.960327
"IRAN",25,29.740532,50.064697
"IRAN",27,29.540009,50.223999
"IRAN",29,29.305561,50.41626
"IRAN",31,29.180941,50.39978
"IRAN",33,29.123373,50.39978
"IRAN",35,29.027355,50.515137
"IRAN",37,28.839862,50.657959
"IRAN",39,28.521796,50.844727
"IRAN",41,28.275358,50.93811
"IRAN",43,28.057439,51.075439
"IRAN",45,27.839076,51.212769
"IRAN",47,27.668934,51.306152
"IRAN",49,27.630007,51.70166
"IRAN",51,27.63974,51.970825
"IRAN",53,27.532629,52.185059
"IRAN",55,27.357132,52.366333
"IRAN",57,27.103144,52.437744
"IRAN",59,26.897578,52.684937
"IRAN",61,26.691637,53.025513
"IRAN",63,26.53448,53.21228
"IRAN",65,26.426309,53.503418
"IRAN",67,26.229375,53.970337
"IRAN",69,26.101188,54.613037
"IRAN",71,26.046913,55.189819
"IRAN",73,26.234302,55.678711
"IRAN",75,26.676913,56.315918
"IRAN",77,26.691637,56.590576
"IRAN",79,26.853479,56.771851
"IRAN",81,26.362342,56.78833
"IRAN",83,25.99755,56.843262
"IRAN",85,25.681137,57.030029
"IRAN",87,25.492868,57.628784
"IRAN",89,25.368846,58.200073
"IRAN",91,25.311753,58.406067
"IRAN",93,25.257117,58.6203
"IRAN",95,25.239727,58.710938
"IRAN",96,25.165173,58.743896
"IRAN",97,25.162687,59.074173
"IRAN",99,24.906679,59.831371
"IRAN",101,24.656066,61.913795
"IRAN",103,24.764291,63.534622
"IRAN",105,25.006002,66.077238
"IRAN",107,25.137845,66.489301
